,Metal,Subcategory,Country,Percentage,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,Category,URL,Rank Order,Color,Color Code
90,Titanium,Total,Other,22,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
91,Vanadium, Ferrovanadium,Austria,44,Austria,AT,AUT,40.0,ISO 3166-2:AT,Europe,Western Europe,,150.0,155.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-Austria ,3.0,#AED6F1,#AED6F1
92,Vanadium, Ferrovanadium,Canada,33,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
93,Vanadium, Ferrovanadium,Russia,12,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
94,Vanadium, Ferrovanadium,Japan,4,Japan,JP,JPN,392.0,ISO 3166-2:JP,Asia,Eastern Asia,,142.0,30.0,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Japan,2.0,#5DADE2,#5DADE2
95,Vanadium, Ferrovanadium,Other,7,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
96,Vanadium,Vanadium pentoxide: ,Brazil,47,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
97,Vanadium,Vanadium pentoxide: ,South Africa,35,South Africa,ZA,ZAF,710.0,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Strategic Partner,https://www.state.gov/u-s-relations-with-South Africa,3.0,#AED6F1,#AED6F1
98,Vanadium,Vanadium pentoxide: ,China,8,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
99,Vanadium,Vanadium pentoxide: ,Taiwan,5,Other,,,,,,,,,,,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Taiwan ,2.0,#5DADE2,#5DADE2
100,Vanadium,Vanadium pentoxide: ,Other,5,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
101,Vanadium,Total,Canada,26,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
102,Vanadium,Total,China,14,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
103,Vanadium,Total,Brazil,10,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
104,Vanadium,Total,South Africa,9,South Africa,ZA,ZAF,710.0,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Strategic Partner,https://www.state.gov/u-s-relations-with-South Africa,3.0,#AED6F1,#AED6F1
